Epoch, Batch, Loss
[1/5],[0/782],2.2976
[1/5],[1/782],2.2857
[1/5],[2/782],2.2684
[1/5],[3/782],2.2086
[1/5],[4/782],2.2559
[1/5],[5/782],2.2811
[1/5],[6/782],2.2152
[1/5],[7/782],2.2405
[1/5],[8/782],2.2066
[1/5],[9/782],2.1723
[1/5],[10/782],2.1577
[1/5],[11/782],2.1083
[1/5],[12/782],2.1683
[1/5],[13/782],2.1585
[1/5],[14/782],2.0570
[1/5],[15/782],2.1502
[1/5],[16/782],2.0663
[1/5],[17/782],2.1119
[1/5],[18/782],2.1287
[1/5],[19/782],2.1711
[1/5],[20/782],2.0847
[1/5],[21/782],2.1002
[1/5],[22/782],2.0848
[1/5],[23/782],2.0593
[1/5],[24/782],2.0596
[1/5],[25/782],2.0482
[1/5],[26/782],1.9624
[1/5],[27/782],2.0546
[1/5],[28/782],2.0252
[1/5],[29/782],2.0722
[1/5],[30/782],2.0312
[1/5],[31/782],2.0748
[1/5],[32/782],2.0366
[1/5],[33/782],2.0180
[1/5],[34/782],2.0301
[1/5],[35/782],2.0373
[1/5],[36/782],2.0061
[1/5],[37/782],1.9527
[1/5],[38/782],2.0299
[1/5],[39/782],2.0557
[1/5],[40/782],1.9769
[1/5],[41/782],2.0198
[1/5],[42/782],1.9743
[1/5],[43/782],2.0131
[1/5],[44/782],1.9810
[1/5],[45/782],1.9431
[1/5],[46/782],2.0399
[1/5],[47/782],1.9289
[1/5],[48/782],1.9687
[1/5],[49/782],1.9968
[1/5],[50/782],1.9266
[1/5],[51/782],1.9976
[1/5],[52/782],1.9704
[1/5],[53/782],1.9656
[1/5],[54/782],1.8867
[1/5],[55/782],2.0449
[1/5],[56/782],1.9855
[1/5],[57/782],2.0527
[1/5],[58/782],2.0557
[1/5],[59/782],1.9734
[1/5],[60/782],2.0313
[1/5],[61/782],1.9760
[1/5],[62/782],1.9681
[1/5],[63/782],1.9504
[1/5],[64/782],2.0349
[1/5],[65/782],1.8942
[1/5],[66/782],2.0051
[1/5],[67/782],1.9392
[1/5],[68/782],1.9439
[1/5],[69/782],2.0076
[1/5],[70/782],2.0654
[1/5],[71/782],1.9651
[1/5],[72/782],1.8765
[1/5],[73/782],1.8750
[1/5],[74/782],1.9848
[1/5],[75/782],2.0079
[1/5],[76/782],1.9575
[1/5],[77/782],1.9598
[1/5],[78/782],1.9531
[1/5],[79/782],1.9005
[1/5],[80/782],1.9385
[1/5],[81/782],1.9848
[1/5],[82/782],1.9205
[1/5],[83/782],1.9065
[1/5],[84/782],1.9378
[1/5],[85/782],1.9817
[1/5],[86/782],1.8929
[1/5],[87/782],1.9512
[1/5],[88/782],1.8588
[1/5],[89/782],1.9589
[1/5],[90/782],2.0089
[1/5],[91/782],1.8706
[1/5],[92/782],1.9602
[1/5],[93/782],2.0072
[1/5],[94/782],1.9607
[1/5],[95/782],1.9201
[1/5],[96/782],1.8934
[1/5],[97/782],1.9168
[1/5],[98/782],1.8859
[1/5],[99/782],1.9154
[1/5],[100/782],1.9343
[1/5],[101/782],1.8928
[1/5],[102/782],1.9063
[1/5],[103/782],1.9437
[1/5],[104/782],1.9553
[1/5],[105/782],1.8246
[1/5],[106/782],1.9292
[1/5],[107/782],1.9505
[1/5],[108/782],1.9601
[1/5],[109/782],1.9091
[1/5],[110/782],2.0181
[1/5],[111/782],1.8364
[1/5],[112/782],1.9498
[1/5],[113/782],1.8827
[1/5],[114/782],1.9458
[1/5],[115/782],1.8553
[1/5],[116/782],1.8908
[1/5],[117/782],1.9368
[1/5],[118/782],1.8519
[1/5],[119/782],1.8485
[1/5],[120/782],1.8804
[1/5],[121/782],1.8816
[1/5],[122/782],1.8982
[1/5],[123/782],1.9715
[1/5],[124/782],1.8955
[1/5],[125/782],1.8364
[1/5],[126/782],1.9367
[1/5],[127/782],1.9571
[1/5],[128/782],1.9224
[1/5],[129/782],1.9150
[1/5],[130/782],1.8959
[1/5],[131/782],1.9349
[1/5],[132/782],1.7979
[1/5],[133/782],1.9034
[1/5],[134/782],1.9568
[1/5],[135/782],1.9140
[1/5],[136/782],1.9312
[1/5],[137/782],1.9334
[1/5],[138/782],1.9472
[1/5],[139/782],1.8883
[1/5],[140/782],1.8604
[1/5],[141/782],1.8569
[1/5],[142/782],1.9261
[1/5],[143/782],1.9635
[1/5],[144/782],1.9213
[1/5],[145/782],1.9333
[1/5],[146/782],1.8634
[1/5],[147/782],1.9074
[1/5],[148/782],1.9628
[1/5],[149/782],1.8634
[1/5],[150/782],1.8641
[1/5],[151/782],1.9253
[1/5],[152/782],1.8103
[1/5],[153/782],1.8720
[1/5],[154/782],1.9480
[1/5],[155/782],1.8500
[1/5],[156/782],1.9022
[1/5],[157/782],1.9037
[1/5],[158/782],1.8939
[1/5],[159/782],1.8720
[1/5],[160/782],1.8401
[1/5],[161/782],1.8882
[1/5],[162/782],1.7856
[1/5],[163/782],1.8684
[1/5],[164/782],1.8465
[1/5],[165/782],1.8889
[1/5],[166/782],1.8948
[1/5],[167/782],1.8443
[1/5],[168/782],1.9487
[1/5],[169/782],1.8792
[1/5],[170/782],1.9187
[1/5],[171/782],1.8344
[1/5],[172/782],1.8625
[1/5],[173/782],1.9174
[1/5],[174/782],1.9001
[1/5],[175/782],1.9604
[1/5],[176/782],1.9529
[1/5],[177/782],1.8580
[1/5],[178/782],1.8457
[1/5],[179/782],1.8618
[1/5],[180/782],1.9159
[1/5],[181/782],1.7647
[1/5],[182/782],1.7652
[1/5],[183/782],1.9823
[1/5],[184/782],1.8347
[1/5],[185/782],1.8638
[1/5],[186/782],1.9044
[1/5],[187/782],1.9076
[1/5],[188/782],1.8492
[1/5],[189/782],1.9260
[1/5],[190/782],1.8818
[1/5],[191/782],1.8768
[1/5],[192/782],1.9481
[1/5],[193/782],1.8252
[1/5],[194/782],1.8927
[1/5],[195/782],1.8946
[1/5],[196/782],1.8277
[1/5],[197/782],1.9858
[1/5],[198/782],1.8283
[1/5],[199/782],1.8849
[1/5],[200/782],1.8490
[1/5],[201/782],1.8370
[1/5],[202/782],1.8113
[1/5],[203/782],1.9134
[1/5],[204/782],1.8951
[1/5],[205/782],1.8396
[1/5],[206/782],1.9954
[1/5],[207/782],1.8492
[1/5],[208/782],1.9115
[1/5],[209/782],1.8266
[1/5],[210/782],1.7843
[1/5],[211/782],1.8830
[1/5],[212/782],1.8217
[1/5],[213/782],1.8110
[1/5],[214/782],1.8926
