Epoch, Batch, Loss
[1/5],[0/782],2.2970
[1/5],[1/782],2.2709
[1/5],[2/782],2.2350
[1/5],[3/782],2.2639
[1/5],[4/782],2.2394
[1/5],[5/782],2.2389
[1/5],[6/782],2.1613
[1/5],[7/782],2.1737
[1/5],[8/782],2.1555
[1/5],[9/782],2.1629
[1/5],[10/782],2.1649
[1/5],[11/782],2.2524
[1/5],[12/782],2.2186
[1/5],[13/782],2.1675
[1/5],[14/782],2.1975
[1/5],[15/782],2.1031
[1/5],[16/782],2.1236
[1/5],[17/782],2.0312
[1/5],[18/782],2.1366
[1/5],[19/782],2.1611
[1/5],[20/782],2.2263
[1/5],[21/782],2.1801
[1/5],[22/782],2.1573
[1/5],[23/782],2.1034
[1/5],[24/782],2.1384
[1/5],[25/782],2.0467
[1/5],[26/782],2.0949
[1/5],[27/782],2.0711
[1/5],[28/782],2.1887
[1/5],[29/782],2.1544
[1/5],[30/782],2.1325
[1/5],[31/782],2.0647
[1/5],[32/782],2.0185
[1/5],[33/782],2.1490
[1/5],[34/782],2.1270
[1/5],[35/782],2.1578
[1/5],[36/782],2.0892
[1/5],[37/782],2.1226
[1/5],[38/782],2.1035
[1/5],[39/782],2.2029
[1/5],[40/782],2.1200
[1/5],[41/782],2.1585
[1/5],[42/782],2.1448
[1/5],[43/782],2.1564
[1/5],[44/782],2.0855
[1/5],[45/782],2.1648
[1/5],[46/782],2.0974
[1/5],[47/782],2.0935
[1/5],[48/782],2.1080
[1/5],[49/782],2.1235
[1/5],[50/782],2.0467
[1/5],[51/782],2.0872
[1/5],[52/782],2.0836
[1/5],[53/782],2.2006
[1/5],[54/782],2.0697
[1/5],[55/782],2.1323
[1/5],[56/782],2.0582
[1/5],[57/782],2.0853
[1/5],[58/782],2.0735
[1/5],[59/782],2.1316
[1/5],[60/782],2.0460
[1/5],[61/782],2.0373
[1/5],[62/782],2.0981
[1/5],[63/782],2.0716
[1/5],[64/782],2.0922
[1/5],[65/782],2.0693
[1/5],[66/782],2.0950
