Epoch, Batch, Loss
[1/1],[0/938],2.2946
[1/1],[1/938],2.2790
[1/1],[2/938],2.1667
[1/1],[3/938],2.1492
[1/1],[4/938],2.1102
[1/1],[5/938],2.0249
[1/1],[6/938],1.9822
[1/1],[7/938],1.9178
[1/1],[8/938],2.0330
[1/1],[9/938],1.8582
[1/1],[10/938],1.8533
[1/1],[11/938],1.8302
[1/1],[12/938],1.7689
[1/1],[13/938],1.7479
[1/1],[14/938],1.7373
[1/1],[15/938],1.6507
[1/1],[16/938],1.6853
[1/1],[17/938],1.6871
[1/1],[18/938],1.7322
[1/1],[19/938],1.7115
[1/1],[20/938],1.6687
[1/1],[21/938],1.6669
[1/1],[22/938],1.6964
[1/1],[23/938],1.6260
[1/1],[24/938],1.6746
[1/1],[25/938],1.6483
[1/1],[26/938],1.6523
[1/1],[27/938],1.5916
[1/1],[28/938],1.6517
[1/1],[29/938],1.6098
[1/1],[30/938],1.6696
[1/1],[31/938],1.6603
[1/1],[32/938],1.5701
[1/1],[33/938],1.6018
[1/1],[34/938],1.6141
[1/1],[35/938],1.5505
[1/1],[36/938],1.5666
[1/1],[37/938],1.6606
[1/1],[38/938],1.6855
[1/1],[39/938],1.6302
[1/1],[40/938],1.5639
[1/1],[41/938],1.5683
[1/1],[42/938],1.5934
[1/1],[43/938],1.5553
[1/1],[44/938],1.5679
[1/1],[45/938],1.5419
[1/1],[46/938],1.5571
[1/1],[47/938],1.5467
[1/1],[48/938],1.5661
[1/1],[49/938],1.5395
[1/1],[50/938],1.5442
[1/1],[51/938],1.5992
[1/1],[52/938],1.5808
[1/1],[53/938],1.5552
[1/1],[54/938],1.5491
[1/1],[55/938],1.5319
[1/1],[56/938],1.5726
[1/1],[57/938],1.5350
[1/1],[58/938],1.5926
[1/1],[59/938],1.4862
[1/1],[60/938],1.5863
[1/1],[61/938],1.5495
[1/1],[62/938],1.5830
[1/1],[63/938],1.5388
[1/1],[64/938],1.5037
[1/1],[65/938],1.5882
[1/1],[66/938],1.4967
[1/1],[67/938],1.5872
[1/1],[68/938],1.5725
[1/1],[69/938],1.5762
[1/1],[70/938],1.5477
[1/1],[71/938],1.6155
[1/1],[72/938],1.5222
[1/1],[73/938],1.5209
[1/1],[74/938],1.5269
[1/1],[75/938],1.5980
[1/1],[76/938],1.5398
[1/1],[77/938],1.5511
[1/1],[78/938],1.5874
[1/1],[79/938],1.5441
[1/1],[80/938],1.5511
[1/1],[81/938],1.5238
[1/1],[82/938],1.5416
[1/1],[83/938],1.5280
[1/1],[84/938],1.5391
[1/1],[85/938],1.5249
[1/1],[86/938],1.5308
[1/1],[87/938],1.5346
[1/1],[88/938],1.4962
[1/1],[89/938],1.5113
