Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[0/938],2.1700,3.6143,0.4185,0.6065 / 0.0432
[1/1],[1/938],1.5082,5.3782,0.9961,0.7071 / 0.0075
[1/1],[2/938],0.6975,6.5726,0.9942,0.4341 / 0.0024
[1/1],[3/938],0.2043,6.6506,0.9866,0.1577 / 0.0022
[1/1],[4/938],0.3587,5.7165,0.8913,0.1470 / 0.0048
[1/1],[5/938],0.3021,6.5967,0.9494,0.1982 / 0.0018
[1/1],[6/938],0.2689,6.7446,0.9091,0.1283 / 0.0018
[1/1],[7/938],0.2517,7.3527,0.9311,0.1370 / 0.0010
[1/1],[8/938],0.2596,7.2505,0.9088,0.1128 / 0.0010
[1/1],[9/938],0.1828,8.6634,0.9755,0.1393 / 0.0002
[1/1],[10/938],0.0985,8.0720,0.9681,0.0583 / 0.0006
[1/1],[11/938],0.2302,5.8337,0.8948,0.0578 / 0.0044
[1/1],[12/938],0.5302,13.9355,0.9837,0.3569 / 0.0000
[1/1],[13/938],0.1016,13.9038,0.9211,0.0002 / 0.0000
[1/1],[14/938],0.0254,8.7925,0.9766,0.0011 / 0.0002
[1/1],[15/938],0.2456,9.5597,0.9711,0.1791 / 0.0001
[1/1],[16/938],0.1901,7.5573,0.9031,0.0271 / 0.0009
[1/1],[17/938],0.2401,11.1728,0.9652,0.1661 / 0.0000
[1/1],[18/938],0.0533,9.4905,0.9563,0.0052 / 0.0001
[1/1],[19/938],0.1423,5.9475,0.9396,0.0282 / 0.0043
[1/1],[20/938],0.4807,18.2718,0.9858,0.3542 / 0.0000
[1/1],[21/938],1.4943,10.1862,0.3760,0.0000 / 0.0001
[1/1],[22/938],0.1103,4.8850,0.9989,0.0981 / 0.0132
[1/1],[23/938],3.0456,23.3536,0.9998,0.9253 / 0.0000
[1/1],[24/938],0.2313,26.1209,0.8506,0.0000 / 0.0000
[1/1],[25/938],1.0229,19.5456,0.6294,0.0000 / 0.0000
[1/1],[26/938],0.0257,7.7110,0.9822,0.0002 / 0.0008
[1/1],[27/938],1.8213,21.6526,0.9960,0.7587 / 0.0000
[1/1],[28/938],0.2167,24.2489,0.8860,0.0000 / 0.0000
[1/1],[29/938],0.1813,19.6203,0.8756,0.0000 / 0.0000
[1/1],[30/938],0.0529,9.7425,0.9616,0.0001 / 0.0001
[1/1],[31/938],0.4065,13.5915,0.9866,0.2886 / 0.0000
[1/1],[32/938],0.1711,12.7061,0.9151,0.0008 / 0.0000
[1/1],[33/938],0.0622,8.3916,0.9506,0.0024 / 0.0004
[1/1],[34/938],0.1799,9.2285,0.9748,0.1275 / 0.0001
[1/1],[35/938],0.0705,8.2319,0.9640,0.0207 / 0.0004
[1/1],[36/938],0.0785,7.9506,0.9813,0.0540 / 0.0005
[1/1],[37/938],0.0960,7.9446,0.9684,0.0490 / 0.0005
[1/1],[38/938],0.0644,8.4897,0.9907,0.0516 / 0.0003
[1/1],[39/938],0.0543,8.0015,0.9815,0.0301 / 0.0005
[1/1],[40/938],0.0655,8.2697,0.9868,0.0495 / 0.0003
[1/1],[41/938],0.1425,7.6598,0.9458,0.0340 / 0.0006
[1/1],[42/938],0.0935,8.6439,0.9718,0.0551 / 0.0002
[1/1],[43/938],0.0478,7.8411,0.9742,0.0175 / 0.0005
[1/1],[44/938],0.1861,6.8607,0.9318,0.0278 / 0.0015
[1/1],[45/938],0.0504,8.1958,0.9963,0.0450 / 0.0003
[1/1],[46/938],0.0659,7.8497,0.9684,0.0191 / 0.0005
[1/1],[47/938],0.0305,7.6910,0.9944,0.0244 / 0.0006
[1/1],[48/938],0.0595,7.9721,0.9795,0.0276 / 0.0005
[1/1],[49/938],0.0409,7.9960,0.9843,0.0221 / 0.0005
[1/1],[50/938],0.0202,7.5454,0.9951,0.0151 / 0.0007
[1/1],[51/938],0.0295,7.5801,0.9925,0.0212 / 0.0007
[1/1],[52/938],0.0337,7.9023,0.9917,0.0232 / 0.0005
[1/1],[53/938],0.0538,7.4216,0.9766,0.0118 / 0.0008
[1/1],[54/938],0.0433,6.9436,0.9801,0.0145 / 0.0012
[1/1],[55/938],0.0362,7.8483,0.9931,0.0285 / 0.0005
[1/1],[56/938],0.0688,7.4278,0.9656,0.0099 / 0.0008
[1/1],[57/938],0.0393,7.5145,0.9845,0.0208 / 0.0008
[1/1],[58/938],0.0273,7.6465,0.9903,0.0155 / 0.0007
[1/1],[59/938],0.0202,7.9183,0.9985,0.0184 / 0.0005
[1/1],[60/938],0.0363,7.6544,0.9824,0.0138 / 0.0007
[1/1],[61/938],0.0242,7.7731,0.9954,0.0193 / 0.0005
[1/1],[62/938],0.0320,8.0830,0.9891,0.0201 / 0.0004
[1/1],[63/938],0.0950,7.2045,0.9496,0.0171 / 0.0010
[1/1],[64/938],0.0455,8.8871,0.9900,0.0336 / 0.0002
[1/1],[65/938],0.0426,8.0255,0.9755,0.0089 / 0.0004
[1/1],[66/938],0.0376,7.2989,0.9810,0.0158 / 0.0008
[1/1],[67/938],0.0600,10.2708,0.9903,0.0466 / 0.0001
[1/1],[68/938],0.0105,9.5766,0.9933,0.0034 / 0.0001
